sample_id,design_id,filename,hour,minute,second,time_string,font,bg_color,text_color,has_design
0,0,clock_screenshots/digital_clock_00000.png,12,28,10,12:28:10,digital-7.ttf,"rgb(176, 200, 30)","rgb(251, 255, 230)",True
1,0,clock_screenshots/digital_clock_00001.png,9,29,13,09:29:13,digital-7.ttf,"rgb(176, 200, 30)","rgb(251, 255, 230)",True
2,0,clock_screenshots/digital_clock_00002.png,23,30,52,23:30:52,digital-7.ttf,"rgb(176, 200, 30)","rgb(251, 255, 230)",True
3,0,clock_screenshots/digital_clock_00003.png,13,21,29,13:21:29,digital-7.ttf,"rgb(176, 200, 30)","rgb(251, 255, 230)",True
4,0,clock_screenshots/digital_clock_00004.png,19,0,47,19:00:47,digital-7.ttf,"rgb(176, 200, 30)","rgb(251, 255, 230)",True
5,0,clock_screenshots/digital_clock_00005.png,7,27,14,07:27:14,digital-7.ttf,"rgb(176, 200, 30)","rgb(251, 255, 230)",True
6,0,clock_screenshots/digital_clock_00006.png,17,30,28,17:30:28,digital-7.ttf,"rgb(176, 200, 30)","rgb(251, 255, 230)",True
7,0,clock_screenshots/digital_clock_00007.png,1,44,28,01:44:28,digital-7.ttf,"rgb(176, 200, 30)","rgb(251, 255, 230)",True
8,0,clock_screenshots/digital_clock_00008.png,15,9,1,15:09:01,digital-7.ttf,"rgb(176, 200, 30)","rgb(251, 255, 230)",True
9,0,clock_screenshots/digital_clock_00009.png,17,36,38,17:36:38,digital-7.ttf,"rgb(176, 200, 30)","rgb(251, 255, 230)",True
10,0,clock_screenshots/digital_clock_00010.png,23,37,22,23:37:22,digital-7.ttf,"rgb(176, 200, 30)","rgb(251, 255, 230)",True
11,0,clock_screenshots/digital_clock_00011.png,13,3,37,13:03:37,digital-7.ttf,"rgb(176, 200, 30)","rgb(251, 255, 230)",True
12,0,clock_screenshots/digital_clock_00012.png,2,17,1,02:17:01,digital-7.ttf,"rgb(176, 200, 30)","rgb(251, 255, 230)",True
